,loc_pred,gt_error_loc,sample_id
0,0,280,0
1,56,117,1
2,0,37,2
3,0,207,3
4,0,88,5
5,0,353,6
6,48,136,7
7,0,166,8
8,42,42,9
9,103,103,10
10,0,120,11
11,0,79,13
12,180,63,14
13,0,82,15
14,0,207,16
15,19,50,17
16,0,114,18
17,0,46,19
18,191,191,20
19,0,106,21
20,0,84,22
21,46,46,23
22,0,103,24
23,0,72,25
24,0,116,26
25,0,209,27
26,0,90,28
27,0,91,29
28,25,25,30
29,86,58,31
30,0,114,32
31,0,64,33
32,134,134,34
33,0,112,35
34,0,134,36
35,0,84,37
36,0,129,38
37,0,248,39
38,89,164,41
39,0,17,42
40,0,31,43
41,0,77,44
42,0,283,45
43,0,191,46
44,0,136,47
45,68,107,48
46,41,304,49
47,0,162,50
48,0,179,51
49,0,106,52
50,0,365,53
51,54,44,54
52,0,69,55
53,0,104,56
54,0,84,57
55,0,142,58
56,68,59,59
57,0,51,60
58,81,81,61
59,0,176,62
60,80,139,63
61,0,161,64
62,0,38,65
63,0,59,66
64,0,63,67
65,140,140,68
66,0,147,69
67,0,39,70
68,0,77,71
69,79,49,72
70,291,403,73
71,0,111,74
72,183,312,75
73,0,177,76
74,0,193,77
75,0,172,78
76,0,47,79
77,0,47,80
78,68,100,81
79,0,178,82
80,0,108,83
81,0,104,84
82,0,89,85
83,132,53,86
84,0,121,87
85,0,341,90
86,0,78,91
87,0,97,92
88,0,95,93
89,0,78,94
90,0,164,95
91,0,135,96
92,0,54,97
93,0,91,98
94,0,43,99
95,17,40,100
96,58,58,101
97,0,168,102
98,0,153,103
99,121,99,105
100,0,102,106
101,90,90,107
102,86,86,108
103,0,137,109
104,0,160,110
105,0,115,111
106,0,91,112
107,85,63,113
108,120,120,114
109,0,384,115
110,0,32,116
111,0,28,117
112,0,74,118
113,0,163,119
114,78,78,120
115,24,24,121
116,0,231,123
117,0,75,124
118,0,81,125
119,0,407,126
120,0,161,127
121,0,194,128
122,43,43,129
123,0,27,130
124,0,50,131
125,0,110,132
126,99,99,133
127,0,146,134
128,35,35,135
129,185,152,136
130,0,208,137
131,0,128,138
132,0,139,140
133,0,384,141
134,0,169,142
135,0,133,143
136,0,179,144
137,0,161,145
138,0,78,146
139,0,130,147
140,0,164,148
141,0,151,149
142,0,94,150
143,0,85,151
144,0,71,152
145,0,39,153
146,0,138,155
147,0,58,156
148,0,237,157
149,25,67,158
150,140,138,159
151,0,25,160
152,0,286,162
153,63,63,165
154,0,128,166
155,38,114,167
156,0,389,169
157,0,320,170
158,0,102,171
159,0,43,172
160,0,67,173
161,18,18,174
162,0,84,176
163,0,128,177
164,0,79,178
165,0,104,179
166,145,145,180
167,155,155,182
168,0,111,183
169,0,232,185
170,130,130,186
171,0,192,187
172,0,81,188
173,0,105,189
174,0,211,190
175,0,195,191
176,119,119,192
177,0,161,193
178,0,225,195
179,0,39,196
180,0,41,197
181,0,41,198
182,0,65,199
183,0,185,200
184,98,46,201
185,0,160,202
186,0,375,203
187,0,50,204
188,0,82,205
189,0,234,207
190,130,142,209
191,0,177,210
192,73,44,212
193,0,127,213
194,0,149,214
195,0,74,215
196,110,110,216
197,65,65,217
198,0,51,219
199,165,165,220
200,0,192,221
201,434,434,222
202,35,41,223
203,0,235,225
204,0,33,228
205,31,28,229
206,0,239,230
207,165,165,231
208,0,80,232
209,0,43,233
210,0,27,234
211,41,304,235
212,0,162,236
213,0,179,237
214,0,60,238
215,0,123,239
216,104,79,240
217,0,251,241
218,89,89,242
219,0,224,243
220,0,197,244
221,0,173,245
222,0,243,246
223,0,414,247
224,0,441,249
225,0,114,250
226,0,66,251
227,0,262,252
228,0,82,253
229,0,59,254
230,103,184,256
231,0,47,257
232,43,43,258
233,0,79,259
234,0,129,260
235,33,33,261
236,0,26,262
237,0,119,264
238,0,174,265
239,0,59,266
240,0,53,267
241,0,149,268
242,0,123,269
243,35,62,270
244,106,80,271
245,106,80,272
246,0,92,273
247,0,269,274
248,210,210,275
249,209,209,276
250,0,58,277
251,0,259,279
252,0,80,280
253,0,110,281
254,38,54,282
255,0,131,283
256,0,91,285
257,0,282,286
258,0,138,287
259,55,55,288
260,35,35,289
261,48,48,290
262,0,385,291
263,0,107,292
264,0,177,293
265,0,70,294
266,0,107,295
267,33,94,296
268,0,55,297
269,0,102,298
270,0,120,299
271,0,136,301
272,0,183,302
273,0,307,303
274,0,132,304
275,87,87,305
276,25,25,306
277,0,47,307
278,53,84,308
279,0,83,309
280,0,274,310
281,0,178,311
282,0,49,312
283,0,79,313
284,0,104,314
285,0,102,315
286,0,168,316
287,0,84,317
288,86,86,318
289,0,76,319
290,0,142,320
291,0,66,321
292,126,137,322
293,0,39,325
294,0,379,327
295,0,51,328
296,0,105,329
297,83,83,330
298,28,28,331
299,0,57,332
300,0,86,333
301,61,61,334
302,0,59,338
303,0,176,341
304,0,118,342
305,0,164,346
306,0,164,347
307,0,280,348
308,175,175,349
309,0,255,350
310,123,123,351
311,0,189,352
312,45,45,353
313,0,53,354
314,286,242,355
315,0,259,358
316,0,173,360
317,0,39,361
318,0,114,362
319,0,284,363
320,0,242,364
321,0,79,365
322,0,118,366
323,90,345,367
324,0,52,368
325,0,127,370
326,82,82,371
327,51,51,372
328,103,103,374
329,0,136,375
330,0,215,376
331,0,63,377
332,299,299,379
333,0,63,380
334,0,360,381
335,0,67,382
336,0,74,383
337,0,99,384
338,0,120,385
339,0,64,386
340,0,438,387
341,0,50,388
342,0,102,389
343,0,92,390
344,0,57,391
345,163,104,392
346,0,90,393
347,0,223,394
348,0,79,395
349,181,118,396
350,0,220,398
351,0,93,399
352,0,130,400
353,14,14,401
354,0,68,403
355,0,91,404
356,0,44,405
357,0,232,406
358,79,90,407
359,57,57,408
360,0,58,409
361,0,108,410
362,0,115,411
363,0,165,412
364,0,181,413
365,0,230,414
366,176,142,415
367,0,191,416
368,0,74,417
369,0,66,418
370,0,143,419
371,0,136,420
372,0,113,421
373,0,246,422
374,47,47,423
375,0,152,424
376,0,364,425
377,0,113,426
378,0,86,427
379,0,202,428
380,0,253,429
381,0,141,432
382,0,313,433
383,0,171,434
384,0,478,435
385,0,224,437
386,226,39,438
387,41,41,439
388,0,152,440
389,88,88,441
390,0,272,442
391,0,118,444
392,0,52,445
393,0,182,446
394,52,112,447
395,0,104,448
396,0,211,449
397,0,107,451
398,188,188,452
399,0,50,453
400,66,66,454
401,0,140,455
402,0,129,456
403,0,35,457
404,86,86,458
405,0,85,459
406,0,21,460
407,0,113,461
408,40,89,462
409,0,77,463
410,0,89,464
411,233,233,466
412,0,231,467
413,0,48,469
414,49,49,470
415,162,162,471
416,144,150,472
417,0,209,473
418,0,62,474
419,0,163,475
420,0,267,476
421,100,100,477
422,195,195,478
423,0,275,479
424,186,186,480
425,0,110,481
426,203,212,482
427,443,443,483
428,36,36,484
429,0,158,485
430,0,442,486
431,0,69,487
432,0,202,488
433,0,65,489
434,0,65,490
435,0,46,491
436,0,78,492
437,0,210,493
438,0,83,494
439,130,130,495
440,0,40,496
441,0,136,497
442,0,83,499
443,0,58,500
444,0,121,501
445,0,121,502
446,0,341,506
447,0,78,507
448,0,97,508
449,0,95,509
450,0,78,510
451,0,164,511
452,178,130,512
453,178,178,513
454,0,149,516
455,0,271,517
456,0,209,518
457,0,191,519
458,419,419,520
459,0,90,521
460,0,32,522
461,0,115,523
462,0,45,524
463,94,94,526
464,121,121,527
465,0,111,528
466,0,111,529
467,0,469,530
468,0,70,531
469,0,95,535
470,0,128,537
471,0,222,538
472,0,74,540
473,0,24,541
474,0,48,542
475,0,73,545
476,0,106,546
477,487,487,547
478,0,96,548
479,0,388,549
480,53,71,550
481,0,106,553
482,46,46,554
483,0,147,555
484,55,55,556
485,200,200,557
486,0,85,558
487,0,156,559
488,249,94,563
489,0,101,564
490,0,41,565
491,28,28,566
492,0,127,568
493,0,181,569
494,0,80,570
495,0,46,571
496,0,38,572
497,38,38,573
498,318,222,574
499,0,194,575
500,0,215,576
501,0,153,577
502,0,259,578
503,0,45,579
504,43,43,580
505,24,24,581
506,115,133,583
507,0,47,584
508,0,47,585
509,0,226,586
510,47,47,588
511,0,182,589
512,0,91,590
513,0,30,591
514,0,57,592
515,213,213,593
516,46,72,595
517,62,62,596
518,116,35,597
519,177,179,598
520,313,48,599
521,39,39,600
522,0,352,601
523,0,289,602
524,73,248,603
525,0,63,604
526,0,272,605
527,229,83,606
528,0,411,607
529,0,143,608
530,0,283,609
531,72,72,610
532,0,62,611
533,0,76,612
534,0,17,613
535,0,49,614
536,0,127,615
537,41,41,616
538,0,105,617
539,0,109,618
540,0,141,619
541,0,114,620
542,0,97,621
543,71,71,622
544,231,69,623
545,0,90,625
546,0,101,627
547,0,27,628
548,0,185,630
549,61,61,631
550,0,70,632
551,0,74,633
552,0,110,634
553,0,197,636
554,0,109,637
555,0,338,639
556,56,56,640
557,0,94,641
558,0,278,642
559,0,44,643
560,0,277,644
561,0,102,645
562,0,69,646
563,0,94,647
564,202,202,648
565,0,199,649
566,403,403,650
567,0,106,651
568,44,44,652
569,0,272,653
570,0,176,655
571,0,46,656
572,0,161,657
573,0,273,658
574,0,69,659
575,0,68,660
576,0,77,661
577,92,92,662
578,74,74,664
579,0,116,666
580,0,119,668
581,0,227,669
582,31,153,670
583,0,58,671
584,0,142,672
585,0,284,673
586,57,74,674
587,95,95,675
588,85,85,676
589,76,83,677
590,219,448,678
591,0,79,679
592,0,195,681
593,0,295,682
594,0,311,683
595,0,92,684
596,0,53,685
597,66,66,686
598,0,112,687
599,0,200,688
600,0,132,689
601,134,76,690
602,0,166,691
603,0,138,692
604,0,182,693
605,133,231,694
606,30,159,695
607,0,232,696
608,63,63,697
609,0,40,698
610,0,168,699
611,0,119,700
612,0,223,701
613,0,157,702
614,0,151,703
615,100,85,704
616,0,161,705
617,0,158,706
618,0,149,707
619,175,164,709
620,0,154,711
621,0,79,712
622,102,193,713
623,46,58,714
624,0,51,715
625,0,184,716
626,0,39,718
627,0,132,719
628,0,338,720
629,0,299,721
630,0,64,722
631,0,25,723
632,0,253,724
633,0,212,725
634,0,52,727
635,0,176,728
636,0,255,729
637,0,131,731
638,0,180,732
639,0,44,733
640,0,174,735
641,0,447,736
642,26,26,737
643,0,176,738
644,0,113,741
645,0,154,742
646,19,38,743
647,0,117,744
648,106,112,745
649,0,46,746
650,0,116,747
651,0,66,748
652,68,68,749
653,0,35,750
654,0,193,751
655,0,110,752
656,0,141,753
657,0,70,754
658,0,112,755
659,0,71,756
660,57,57,757
661,0,133,758
662,0,73,759
663,78,78,760
664,0,208,761
665,0,436,762
666,269,84,763
667,0,242,764
668,0,190,765
669,48,48,766
670,0,65,767
671,82,99,768
672,0,40,769
673,133,293,770
674,115,115,771
675,62,62,772
676,0,71,773
677,0,88,774
678,0,186,775
679,104,104,776
680,0,76,777
681,0,333,778
682,0,278,779
683,382,159,780
684,0,77,781
685,305,328,782
686,0,43,784
687,259,266,785
688,0,189,786
689,0,115,787
690,0,315,789
691,0,78,790
692,96,43,791
693,336,415,792
694,0,234,793
695,0,116,795
696,0,100,796
697,79,90,797
698,57,57,798
699,0,165,800
700,0,57,801
701,0,65,802
702,0,221,803
703,0,167,804
704,0,45,805
705,150,234,806
706,0,122,807
707,46,46,809
708,0,77,810
709,0,42,811
710,0,263,812
711,0,52,813
712,0,132,814
713,89,27,815
714,84,73,816
715,0,72,817
716,0,152,818
717,0,28,819
718,0,32,820
719,0,105,822
720,0,77,824
721,0,70,825
722,0,55,826
723,0,103,827
724,31,31,830
725,62,62,832
726,0,31,833
727,0,61,834
728,0,230,835
729,0,203,837
730,0,80,840
731,0,115,841
732,168,49,842
733,0,94,843
734,0,134,845
735,16,16,846
736,0,132,849
737,81,81,850
738,0,63,851
739,0,40,852
740,0,368,853
741,53,53,855
742,0,40,856
743,0,368,857
744,53,53,860
745,0,163,861
746,0,145,862
747,0,29,863
748,37,37,865
749,321,286,866
750,0,214,868
751,72,72,871
752,0,448,872
753,112,89,873
754,0,67,874
755,0,88,875
756,182,72,876
757,0,186,877
758,0,63,878
759,0,166,879
760,0,103,880
761,234,234,881
762,0,128,883
763,128,128,884
764,50,50,886
765,0,47,887
766,0,242,889
767,0,137,890
768,0,109,891
769,0,64,893
770,0,188,894
771,0,63,895
772,0,81,896
773,155,325,897
774,0,44,898
775,54,63,899
776,0,195,900
777,0,368,901
778,0,55,902
779,0,95,903
780,66,26,904
781,79,79,905
782,0,251,906
783,0,132,908
784,47,47,910
785,0,88,911
786,0,79,912
787,61,53,913
788,180,270,914
789,0,135,915
790,142,174,916
791,0,278,917
792,0,238,918
793,0,341,919
794,0,380,920
795,0,275,921
796,0,289,922
797,68,68,923
798,50,40,924
799,0,50,925
800,0,137,926
801,0,32,927
802,0,54,928
803,0,58,929
804,0,76,932
805,95,95,933
806,80,80,934
807,0,52,935
808,0,251,936
809,56,56,937
810,0,309,938
811,0,47,940
812,0,66,941
813,0,191,943
814,43,43,946
815,0,88,947
816,0,213,948
817,52,52,949
818,0,361,951
819,0,153,953
820,99,99,955
821,0,92,956
822,119,136,957
823,0,49,958
824,0,172,959
825,0,166,960
826,0,81,963
827,0,49,964
828,0,302,965
829,0,146,966
830,0,384,968
831,0,150,969
832,0,87,970
833,0,63,971
834,42,42,972
835,73,73,973
836,88,88,974
837,0,79,975
838,0,114,976
839,0,245,977
840,106,106,978
841,0,103,979
842,0,106,980
843,0,96,981
844,0,132,983
845,0,94,987
846,0,94,990
847,0,121,992
848,0,202,993
849,0,105,995
850,59,59,997
851,72,72,998
852,0,65,999
853,0,56,1000
854,0,31,1002
855,0,139,1004
856,0,297,1005
857,269,269,1008
858,0,32,1010
859,0,252,1011
860,367,367,1012
861,0,121,1013
862,46,46,1015
863,0,209,1016
864,0,104,1017
865,0,196,1018
866,0,55,1019
867,0,66,1020
868,0,40,1021
869,86,86,1022
870,0,288,1023
871,0,251,1024
872,0,311,1025
873,0,62,1026
874,192,186,1027
875,0,95,1028
876,0,253,1029
877,0,113,1030
878,74,74,1035
879,0,89,1036
880,0,59,1037
881,83,83,1038
882,0,53,1039
883,11,80,1040
884,0,311,1041
885,339,204,1042
886,0,194,1043
887,0,58,1044
888,0,286,1045
889,0,78,1047
890,0,174,1048
